Datetime,Open,High,Low,Close,side,exit_price,original_status
2022-05-26 07:40:12,4039.5,4039.75,4039.5,4039.75,long,4039.75,win
2022-05-26 08:42:28,4047.25,4047.5,4047.25,4047.5,long,4047.5,win
2022-05-26 09:12:09,4053.25,4053.5,4053.25,4053.5,short,4053.5,lose
2022-05-26 09:43:58,4058.5,4058.5,4058.25,4058.25,short,4058.25,win
2022-05-26 10:55:37,4060.0,4060.0,4059.0,4059.25,long,4059.75,lose
2022-05-26 11:22:45,4068.0,4068.75,4068.0,4068.0,short,4068.0,lose
2022-05-26 11:49:51,4061.75,4061.75,4061.5,4061.5,long,4058.75,win
2022-05-26 12:20:52,4051.0,4051.25,4051.0,4051.0,short,4061.5,win
2022-05-26 12:51:23,4063.25,4064.25,4063.25,4064.0,short,4063.0,lose
2022-05-26 13:30:25,4049.25,4049.25,4049.25,4049.25,long,4053.25,lose
2022-05-26 14:00:00,4050.5,4050.75,4050.25,4050.75,prev,4064.5,END local
2022-05-27 06:57:54,4114.75,4114.75,4114.5,4114.75,long,4099.0,win
2022-05-27 07:28:10,4121.25,4121.5,4121.25,4121.25,long,4121.25,win
2022-05-27 07:58:33,4112.5,4112.75,4112.5,4112.5,long,4114.0,lose
2022-05-27 08:29:07,4120.75,4120.75,4120.5,4120.5,long,4110.75,win
2022-05-27 09:00:54,4129.5,4129.5,4129.25,4129.25,long,4121.5,win
2022-05-27 09:35:14,4123.0,4123.0,4122.5,4122.5,long,4123.0,lose
2022-05-27 10:09:45,4130.75,4131.0,4130.75,4130.75,short,4131.0,lose
2022-05-27 11:10:01,4127.75,4127.75,4127.5,4127.75,long,4127.75,win
2022-05-27 12:27:45,4146.75,4146.75,4146.75,4146.75,short,4141.0,lose
2022-05-27 12:58:41,4152.0,4152.5,4152.0,4152.25,long,4145.25,win
2022-05-27 13:39:55,4167.0,4167.0,4166.75,4166.75,short,4164.25,lose
