Datetime,Open,High,Low,Close
2022-05-25 15:00:00,3972.25,3975.5,3971.25,3975.0
2022-05-25 15:01:00,3975.0,3975.25,3974.25,3974.75
2022-05-25 15:02:00,3975.25,3975.5,3974.0,3974.75
2022-05-25 15:03:00,3974.75,3975.5,3974.25,3974.25
2022-05-25 15:04:00,3974.5,3974.75,3973.5,3974.25
2022-05-25 15:05:00,3974.25,3974.25,3973.5,3973.5
2022-05-25 15:06:00,3973.75,3975.0,3973.25,3975.0
2022-05-25 15:07:00,3974.75,3974.75,3973.5,3973.5
2022-05-25 15:08:00,3973.5,3974.5,3972.5,3974.5
2022-05-25 15:09:00,3974.0,3974.5,3972.75,3973.5
2022-05-25 15:10:00,3973.25,3974.5,3973.25,3974.0
2022-05-25 15:11:00,3974.0,3974.0,3973.75,3974.0
2022-05-25 15:12:00,3974.0,3974.0,3973.75,3973.75
2022-05-25 15:13:00,3974.0,3974.75,3973.75,3974.75
2022-05-25 15:14:00,3974.75,3977.25,3974.5,3976.75
2022-05-25 15:15:00,3976.75,3977.0,3975.5,3976.0
2022-05-25 15:16:00,3976.0,3976.25,3975.5,3976.0
2022-05-25 15:17:00,3976.25,3976.5,3975.75,3976.0
2022-05-25 15:18:00,3976.0,3976.25,3975.75,3976.0
2022-05-25 15:19:00,3975.75,3975.75,3975.5,3975.75
2022-05-25 15:20:00,3975.75,3976.0,3975.5,3975.75
2022-05-25 15:21:00,3976.0,3976.0,3975.25,3975.5
2022-05-25 15:22:00,3975.5,3975.75,3975.0,3975.0
2022-05-25 15:23:00,3974.75,3974.75,3974.25,3974.5
2022-05-25 15:24:00,3974.25,3974.5,3974.0,3974.25
2022-05-25 15:25:00,3974.25,3975.0,3973.0,3973.0
2022-05-25 15:26:00,3973.0,3973.5,3972.5,3972.5
2022-05-25 15:27:00,3972.75,3973.0,3972.25,3973.0
2022-05-25 15:28:00,3973.0,3973.0,3970.75,3971.0
2022-05-25 15:29:00,3971.0,3973.0,3971.0,3971.0
2022-05-25 15:30:00,3971.25,3972.5,3971.0,3972.0
2022-05-25 15:31:00,3972.0,3972.25,3971.25,3971.25
2022-05-25 15:32:00,3971.5,3971.75,3970.5,3971.25
2022-05-25 15:33:00,3971.25,3972.0,3970.75,3972.0
2022-05-25 15:34:00,3972.0,3972.75,3972.0,3972.5
2022-05-25 15:35:00,3972.5,3973.5,3972.25,3973.5
2022-05-25 15:36:00,3973.5,3974.0,3973.0,3973.0
2022-05-25 15:37:00,3973.0,3973.0,3972.75,3972.75
2022-05-25 15:38:00,3972.75,3973.0,3972.5,3973.0
2022-05-25 15:39:00,3973.0,3973.5,3972.75,3973.5
2022-05-25 15:40:00,3973.5,3974.75,3973.5,3974.25
2022-05-25 15:41:00,3974.25,3974.25,3973.75,3974.0
2022-05-25 15:42:00,3974.25,3974.75,3974.25,3974.5
2022-05-25 15:43:00,3974.5,3974.5,3973.5,3973.5
2022-05-25 15:44:00,3973.5,3973.5,3972.75,3972.75
2022-05-25 15:45:00,3972.5,3972.5,3972.0,3972.0
2022-05-25 15:46:00,3972.0,3972.5,3972.0,3972.5
2022-05-25 15:47:00,3972.5,3972.5,3971.75,3972.0
2022-05-25 15:48:00,3972.25,3972.25,3971.75,3972.0
2022-05-25 15:49:00,3972.0,3972.25,3971.75,3971.75
2022-05-25 15:50:00,3971.75,3972.0,3971.25,3972.0
2022-05-25 15:51:00,3971.75,3972.25,3971.5,3972.0
2022-05-25 15:52:00,3972.25,3972.5,3971.75,3971.75
2022-05-25 15:53:00,3971.75,3971.75,3971.5,3971.75
2022-05-25 15:54:00,3971.75,3972.25,3971.5,3972.0
2022-05-25 15:55:00,3972.25,3972.5,3971.5,3971.5
2022-05-25 15:56:00,3971.25,3973.25,3971.25,3972.75
2022-05-25 15:57:00,3973.0,3974.0,3973.0,3973.25
2022-05-25 15:58:00,3973.25,3975.5,3973.25,3975.5
2022-05-25 15:59:00,3975.5,3975.75,3975.0,3975.5
2022-05-25 16:00:00,3975.5,3976.25,3975.0,3975.0
2022-05-25 16:01:00,3974.75,3975.75,3974.25,3975.0
2022-05-25 16:02:00,3975.0,3975.25,3974.75,3975.25
2022-05-25 16:03:00,3975.25,3976.5,3975.25,3976.25
2022-05-25 16:04:00,3976.5,3976.5,3976.0,3976.25
2022-05-25 16:05:00,3976.25,3976.5,3975.75,3976.0
2022-05-25 16:06:00,3975.75,3976.5,3975.25,3975.75
2022-05-25 16:07:00,3975.75,3975.75,3975.25,3975.25
2022-05-25 16:08:00,3975.0,3975.75,3975.0,3975.5
2022-05-25 16:09:00,3975.5,3975.5,3974.75,3974.75
2022-05-25 16:10:00,3974.75,3975.25,3974.75,3975.25
2022-05-25 16:11:00,3975.25,3975.25,3975.0,3975.25
2022-05-25 16:12:00,3975.5,3976.75,3975.5,3976.5
2022-05-25 16:13:00,3976.75,3977.0,3976.25,3977.0
2022-05-25 16:14:00,3977.0,3977.5,3977.0,3977.25
2022-05-25 16:15:00,3977.25,3977.5,3977.25,3977.25
2022-05-25 16:16:00,3977.25,3977.5,3976.5,3977.25
2022-05-25 16:17:00,3977.25,3977.5,3976.75,3977.25
2022-05-25 16:18:00,3977.25,3978.0,3977.25,3977.75
2022-05-25 16:19:00,3977.75,3977.75,3976.5,3976.75
2022-05-25 16:20:00,3976.5,3976.75,3976.0,3976.5
2022-05-25 16:21:00,3976.25,3976.5,3975.75,3976.0
2022-05-25 16:22:00,3976.0,3976.25,3975.75,3976.25
2022-05-25 16:23:00,3976.25,3976.25,3975.75,3975.75
2022-05-25 16:24:00,3976.0,3976.0,3975.25,3975.25
2022-05-25 16:25:00,3975.5,3975.75,3975.25,3975.5
2022-05-25 16:26:00,3975.5,3975.5,3974.75,3975.25
2022-05-25 16:27:00,3975.0,3975.25,3974.25,3975.0
2022-05-25 16:28:00,3975.0,3975.5,3974.75,3975.25
2022-05-25 16:29:00,3975.5,3975.5,3975.25,3975.5
2022-05-25 16:30:00,3975.5,3975.5,3975.25,3975.25
2022-05-25 16:31:00,3975.25,3976.5,3975.25,3976.25
2022-05-25 16:32:00,3976.25,3976.25,3976.25,3976.25
2022-05-25 16:33:00,3976.25,3976.25,3974.0,3974.25
2022-05-25 16:34:00,3974.0,3974.5,3974.0,3974.0
2022-05-25 16:35:00,3974.25,3975.75,3974.25,3974.75
2022-05-25 16:36:00,3974.75,3975.25,3974.75,3975.25
2022-05-25 16:37:00,3975.25,3975.5,3975.0,3975.5
2022-05-25 16:38:00,3975.0,3975.25,3974.25,3974.25
2022-05-25 16:39:00,3974.25,3974.25,3973.25,3973.5
2022-05-25 16:40:00,3973.5,3973.5,3972.5,3973.25
2022-05-25 16:41:00,3973.0,3974.0,3973.0,3973.5
2022-05-25 16:42:00,3973.5,3975.0,3973.5,3974.75
2022-05-25 16:43:00,3974.75,3975.0,3974.25,3974.5
2022-05-25 16:44:00,3974.25,3974.75,3974.25,3974.5
2022-05-25 16:45:00,3974.5,3975.5,3974.0,3975.25
2022-05-25 16:46:00,3975.5,3975.5,3974.0,3974.25
2022-05-25 16:47:00,3974.5,3974.5,3972.5,3973.5
2022-05-25 16:48:00,3973.25,3974.0,3973.25,3974.0
2022-05-25 16:49:00,3974.0,3974.25,3973.75,3973.75
2022-05-25 16:50:00,3973.5,3973.75,3973.25,3973.5
2022-05-25 16:51:00,3973.25,3973.5,3973.0,3973.5
2022-05-25 16:52:00,3973.5,3973.5,3972.5,3972.5
2022-05-25 16:53:00,3972.5,3972.75,3971.0,3971.25
2022-05-25 16:54:00,3971.25,3972.0,3969.75,3970.0
2022-05-25 16:55:00,3970.0,3970.0,3968.75,3970.0
2022-05-25 16:56:00,3970.0,3971.0,3969.75,3969.75
2022-05-25 16:57:00,3969.75,3970.0,3969.0,3969.25
2022-05-25 16:58:00,3969.0,3969.75,3968.25,3969.75
2022-05-25 16:59:00,3969.75,3970.25,3969.75,3969.75
2022-05-25 17:00:00,3969.75,3970.5,3969.0,3970.0
2022-05-25 17:01:00,3970.0,3971.0,3967.5,3970.75
2022-05-25 17:02:00,3971.0,3972.5,3970.5,3972.0
2022-05-25 17:03:00,3971.75,3974.5,3971.5,3973.75
