index,Datetime,Open,High,Low,Close,cont_up,cont_down
95868,2022-05-27 13:00:01,4156.25,4156.75,4155.0,4155.5,4157.269909274193,4139.269909274193
95869,2022-05-27 13:00:02,4155.5,4155.75,4155.25,4155.5,4157.269909274193,4139.269909274193
95870,2022-05-27 13:00:03,4155.75,4156.25,4155.5,4155.75,4157.269909274193,4139.269909274193
95871,2022-05-27 13:00:04,4155.75,4155.75,4155.0,4155.25,4157.269909274193,4139.269909274193
95872,2022-05-27 13:00:05,4155.0,4155.25,4155.0,4155.0,4157.269909274193,4139.269909274193
95873,2022-05-27 13:00:06,4155.0,4155.5,4155.0,4155.25,4157.269909274193,4139.269909274193
95874,2022-05-27 13:00:07,4155.25,4155.75,4155.25,4155.75,4157.269909274193,4139.269909274193
95875,2022-05-27 13:00:08,4155.5,4156.0,4155.25,4155.25,4157.269909274193,4139.269909274193
95876,2022-05-27 13:00:09,4155.25,4155.5,4155.0,4155.25,4157.269909274193,4139.269909274193
95877,2022-05-27 13:00:10,4155.25,4155.5,4155.0,4155.25,4157.269909274193,4139.269909274193
95878,2022-05-27 13:00:11,4155.25,4155.5,4155.0,4155.5,4157.269909274193,4139.269909274193
95879,2022-05-27 13:00:12,4155.5,4155.75,4155.25,4155.75,4157.269909274193,4139.269909274193
95880,2022-05-27 13:00:13,4155.75,4155.75,4155.5,4155.5,4157.269909274193,4139.269909274193
95881,2022-05-27 13:00:14,4155.5,4155.75,4155.0,4155.0,4157.269909274193,4139.269909274193
95882,2022-05-27 13:00:15,4155.0,4155.25,4155.0,4155.25,4157.269909274193,4139.269909274193
95883,2022-05-27 13:00:16,4155.0,4156.0,4155.0,4155.75,4157.269909274193,4139.269909274193
95884,2022-05-27 13:00:17,4155.75,4157.0,4155.5,4156.5,4157.269909274193,4139.269909274193
95885,2022-05-27 13:00:18,4156.5,4157.25,4156.5,4157.25,4157.269909274193,4139.269909274193
95886,2022-05-27 13:00:19,4157.25,4157.5,4157.0,4157.5,4157.269909274193,4139.269909274193
95887,2022-05-27 13:00:20,4157.25,4158.0,4157.25,4157.5,4157.269909274193,4139.269909274193
95888,2022-05-27 13:00:21,4157.5,4157.75,4156.75,4157.0,4157.269909274193,4139.269909274193
95889,2022-05-27 13:00:22,4157.0,4157.5,4156.75,4157.5,4157.269909274193,4139.269909274193
95890,2022-05-27 13:00:23,4157.5,4158.0,4157.25,4157.5,4157.269909274193,4139.269909274193
95891,2022-05-27 13:00:24,4157.25,4157.75,4157.25,4157.5,4157.269909274193,4139.269909274193
95892,2022-05-27 13:00:25,4157.5,4158.0,4157.5,4157.75,4157.269909274193,4139.269909274193
