Datetime,Open,High,Low,Close,side,reg_line_val
2022-04-01 01:04:00,4549.25,4550.0,4547.75,4550.0,short,4549.792827627773
2022-04-01 06:47:00,4535.75,4538.0,4535.0,4537.5,short,4537.223966422827
2022-04-01 08:21:00,4530.75,4533.0,4529.25,4531.75,short,4532.934572987363
2022-04-01 09:54:00,4509.75,4512.25,4509.75,4512.25,short,4511.0088317522695
2022-04-01 11:05:00,4523.25,4527.25,4522.75,4527.25,short,4525.884629958679
2022-04-01 11:36:00,4534.75,4535.0,4532.5,4533.0,long,4538.88491341707
2022-04-01 12:29:00,4519.25,4522.25,4518.75,4521.0,short,4521.656737183713
2022-04-01 13:19:00,4533.5,4534.5,4532.0,4534.25,long,4539.760658913112
2022-04-03 23:47:00,4547.0,4547.0,4546.25,4546.5,long,4548.03035615446
2022-04-04 00:19:00,4534.0,4534.75,4533.0,4533.75,long,4537.561621925577
2022-04-04 03:21:00,4549.0,4549.0,4548.0,4548.75,long,4549.527279542468
2022-04-04 06:55:00,4550.5,4557.25,4550.5,4556.5,short,4552.55266168395
2022-04-04 08:37:00,4561.5,4561.75,4559.0,4559.5,long,4562.774758428957
2022-04-04 12:55:00,4575.25,4575.5,4571.0,4572.75,long,4573.58507985521
2022-04-05 07:03:00,4585.5,4588.75,4585.5,4586.25,short,4587.537839338426
2022-04-05 07:37:00,4554.0,4554.0,4550.75,4551.0,long,4559.536338135345
2022-04-05 09:41:00,4541.25,4541.5,4540.0,4540.5,long,4542.388571457077
2022-04-05 15:01:00,4526.0,4526.5,4525.0,4525.25,long,4526.8200115245245
2022-04-05 19:55:00,4516.25,4516.5,4516.0,4516.0,short,4516.411294498485
2022-04-06 01:17:00,4502.75,4503.25,4500.25,4501.75,long,4504.914870244003
2022-04-06 03:26:00,4491.0,4491.5,4490.75,4491.5,long,4495.666849362925
2022-04-06 04:56:00,4477.5,4478.0,4476.75,4477.0,long,4479.734198039794
2022-04-06 07:10:00,4456.75,4459.75,4454.5,4459.5,short,4459.6721553847565
2022-04-06 10:06:00,4461.75,4462.75,4460.75,4462.5,short,4462.088545325833
2022-04-06 10:49:00,4474.5,4477.75,4474.5,4477.5,short,4474.8191224861475
2022-04-06 11:05:00,4483.75,4484.25,4475.75,4477.0,long,4482.553439386861
2022-04-06 13:17:00,4473.5,4473.5,4471.0,4471.25,long,4479.847944496854
2022-04-06 17:12:00,4461.75,4463.75,4461.25,4463.5,short,4463.152232331575
2022-04-06 23:48:00,4475.75,4477.0,4475.0,4475.5,short,4476.406091077229
2022-04-07 03:10:00,4488.5,4488.5,4488.25,4488.25,long,4490.280126865549
2022-04-07 05:50:00,4473.75,4474.25,4472.75,4473.75,short,4474.0728386102
2022-04-07 08:00:00,4461.75,4468.5,4460.75,4466.5,short,4465.945511858369
2022-04-07 09:52:00,4450.0,4451.25,4448.75,4451.25,short,4450.6237371665975
2022-04-07 10:19:00,4467.25,4471.75,4467.0,4469.75,short,4471.074739547362
2022-04-07 13:39:00,4494.25,4495.0,4494.0,4495.0,short,4494.755903285809
2022-04-07 23:37:00,4507.75,4508.75,4507.5,4507.75,short,4508.476100917364
2022-04-08 06:15:00,4490.0,4491.75,4489.75,4491.5,short,4491.033023261988
2022-04-08 07:27:00,4479.0,4483.75,4479.0,4483.5,short,4480.471782807189
2022-04-08 08:30:00,4502.75,4504.25,4502.5,4503.5,short,4503.648457263189
