Datetime_entry,Open,side,reg_line_val_entry,Datetime_exit,Close,reg_line_val_exit,status,pnl,pnl%
01-04-2022 01:04,4549.25,short,4549.792828,01-04-2022 06:43,4533.75,4536.899685,win,12.89314236,-0.997166213
01-04-2022 06:47,4535.75,short,4537.223966,01-04-2022 07:25,4520.25,4532.878298,win,4.345668127,-0.999042219
01-04-2022 08:21,4530.75,short,4532.934573,01-04-2022 08:40,4515.5,4534.27051,win,-1.3359375,-1.000294718
01-04-2022 09:54,4509.75,short,4511.008832,01-04-2022 11:04,4523.25,4525.441838,lose,-14.43300587,-1.003199507
01-04-2022 11:05,4523.25,short,4525.88463,01-04-2022 11:32,4537,4536.827454,lose,-10.94282378,-1.002417831
01-04-2022 11:36,4534.75,long,4538.884913,01-04-2022 12:19,4519.25,4539.839951,lose,-0.955037097,-1.000210412
01-04-2022 12:29,4519.25,short,4521.656737,01-04-2022 12:51,4535,4512.190306,lose,9.466431452,-0.997906424
01-04-2022 13:19,4533.5,long,4539.760659,03-04-2022 22:59,4548.5,4548.031954,win,-8.271294656,-1.001821967
03-04-2022 23:47,4547,long,4548.030356,04-04-2022 00:13,4533,4547.288622,lose,0.741733871,-0.999836911
04-04-2022 00:19,4534,long,4537.561622,04-04-2022 03:15,4550.75,4548.278175,win,-10.7165529,-1.002361743
04-04-2022 03:21,4549,long,4549.52728,04-04-2022 06:33,4534,4548.249133,lose,1.278146084,-0.99971906
04-04-2022 06:55,4550.5,short,4552.552662,04-04-2022 08:31,4563.5,4562.411855,lose,-9.859193519,-1.002165641
04-04-2022 08:37,4561.5,long,4562.774758,04-04-2022 12:51,4576.75,4573.445765,win,-10.67100691,-1.00233871
04-04-2022 12:55,4575.25,long,4573.58508,05-04-2022 06:29,4562.25,4565.534661,lose,8.050418675,-0.998239801
05-04-2022 07:03,4585.5,short,4587.537839,05-04-2022 07:07,4565.75,4589.141468,win,-1.603629032,-1.000349562
05-04-2022 07:37,4554,long,4559.536338,05-04-2022 09:19,4540.5,4545.50339,lose,14.03294813,-0.996922286
05-04-2022 09:41,4541.25,long,4542.388571,05-04-2022 12:06,4527.75,4537.124545,lose,5.2640266,-0.998841132
05-04-2022 15:01,4526,long,4526.820012,05-04-2022 17:58,4512.75,4524.211376,lose,2.608635955,-0.999423738
05-04-2022 19:55,4516.25,short,4516.411294,06-04-2022 00:55,4501.25,4502.94065,win,13.47064409,-0.997017401
06-04-2022 01:17,4502.75,long,4504.91487,06-04-2022 02:50,4489.75,4493.971705,lose,10.9431652,-0.997570839
06-04-2022 03:26,4491,long,4495.666849,06-04-2022 04:51,4477.5,4477.755839,lose,17.91101003,-0.996015939
06-04-2022 04:56,4477.5,long,4479.734198,06-04-2022 07:01,4461,4464.311873,lose,15.42232491,-0.996557313
06-04-2022 07:10,4456.75,short,4459.672155,06-04-2022 08:50,4472.5,4465.182695,lose,-5.510539427,-1.001235638
06-04-2022 10:06,4461.75,short,4462.088545,06-04-2022 10:40,4475.5,4472.022953,lose,-9.934407805,-1.002226403
06-04-2022 10:49,4474.5,short,4474.819122,06-04-2022 11:02,4488.5,4478.858034,lose,-4.03891129,-1.000902586
06-04-2022 11:05,4483.75,long,4482.553439,06-04-2022 11:07,4470.5,4483.137915,lose,-0.584475806,-1.000130389
06-04-2022 13:17,4473.5,long,4479.847944,06-04-2022 17:00,4459.5,4465.948402,lose,13.89954281,-0.996897318
06-04-2022 17:12,4461.75,short,4463.152232,06-04-2022 23:44,4476,4475.399639,lose,-12.24740713,-1.002744116
06-04-2022 23:48,4475.75,short,4476.406091,07-04-2022 03:01,4489,4484.723124,lose,-8.317032788,-1.001857971
07-04-2022 03:10,4488.5,long,4490.280127,07-04-2022 05:11,4475,4482.318539,lose,7.961588364,-0.998226928
07-04-2022 05:50,4473.75,short,4474.072839,07-04-2022 07:40,4457.25,4471.076027,win,2.996811131,-0.999330183
07-04-2022 08:00,4461.75,short,4465.945512,07-04-2022 09:48,4446.75,4451.278576,win,14.66693598,-0.996715827
07-04-2022 09:52,4450,short,4450.623737,07-04-2022 10:11,4463.25,4447.513253,lose,3.110483871,-0.999301113
07-04-2022 10:19,4467.25,short,4471.07474,07-04-2022 10:56,4480.5,4475.41407,lose,-4.339330297,-1.000970534
07-04-2022 13:39,4494.25,short,4494.755903,07-04-2022 23:36,4507.75,4508.294901,lose,-13.53899803,-1.003012176
07-04-2022 23:37,4507.75,short,4508.476101,08-04-2022 06:04,4492.75,4495.35263,win,13.1234708,-0.997089156
08-04-2022 06:15,4490,short,4491.033023,08-04-2022 06:44,4474,4485.536987,win,5.496036206,-0.99877622
08-04-2022 07:27,4479,short,4480.471783,08-04-2022 07:51,4493.5,4484.310089,lose,-3.838306452,-1.000856675
08-04-2022 08:30,4502.75,short,4503.648457,08-04-2022 11:34,4487.5,4493.075467,win,10.57299067,-0.99765235
08-04-2022 11:39,4489.5,short,4491.353188,10-04-2022 17:02,4473.75,4477.210461,win,14.14272769,-0.996851121
10-04-2022 17:13,4470.5,short,4470.986886,10-04-2022 19:22,4455.5,4462.571512,win,8.415373902,-0.998117782
10-04-2022 19:46,4458.75,long,4459.697318,11-04-2022 00:29,4478.25,4458.918781,win,0.7785374,-0.999825428
11-04-2022 02:30,4462,long,4461.936737,11-04-2022 05:10,4449,4454.264039,lose,7.672697619,-0.998280411
11-04-2022 05:18,4451.75,long,4452.678555,11-04-2022 07:26,4435.75,4452.991574,lose,-0.313018756,-1.000070299
11-04-2022 08:33,4433.25,short,4433.373994,11-04-2022 12:28,4418.25,4426.701734,win,6.672260432,-0.998494993
11-04-2022 12:55,4404.75,long,4408.605644,11-04-2022 18:25,4390.5,4387.201712,lose,21.40393215,-0.995144966
11-04-2022 18:30,4391.5,short,4393.501607,12-04-2022 01:36,4404.75,4403.413466,lose,-9.911858775,-1.002256027
12-04-2022 01:45,4405.25,long,4408.630141,12-04-2022 05:30,4435.75,4423.777899,win,-15.14775865,-1.003435933
12-04-2022 05:57,4462,long,4472.529977,12-04-2022 06:10,4447.5,4490.791569,lose,-18.26159274,-1.004083057
12-04-2022 06:26,4443,short,4443.5743,12-04-2022 06:50,4458.5,4429.73438,lose,13.83991935,-0.996885408
12-04-2022 07:00,4460.5,short,4461.358116,12-04-2022 07:28,4445.5,4452.196558,win,9.161557474,-0.997946464
12-04-2022 08:45,4448.5,long,4451.369415,12-04-2022 09:23,4435.25,4444.498156,lose,6.871258447,-0.998456372
12-04-2022 09:35,4426,short,4430.436574,12-04-2022 10:51,4408.75,4433.350559,win,-2.91398423,-1.000657719
12-04-2022 11:33,4391,long,4395.317439,12-04-2022 12:28,4377,4402.480802,lose,-7.163363638,-1.001629772
12-04-2022 12:36,4379,short,4380.748249,12-04-2022 12:47,4393,4378.623652,lose,2.124596774,-0.999515015
12-04-2022 13:09,4393.75,short,4397.355977,12-04-2022 17:02,4407.25,4401.638197,lose,-4.282219735,-1.000973817
12-04-2022 18:14,4410,long,4411.672579,12-04-2022 22:51,4425.5,4426.469438,win,-14.79685883,-1.003354025
12-04-2022 23:31,4422,long,4424.098685,13-04-2022 02:56,4406.75,4415.15127,lose,8.947414316,-0.997977574
13-04-2022 02:59,4404.75,long,4408.232086,13-04-2022 04:06,4420,4419.066519,win,-10.83443251,-1.002457773
13-04-2022 04:18,4419.75,long,4421.695753,13-04-2022 04:51,4406,4418.801441,lose,2.894312037,-0.999345429
13-04-2022 05:07,4398,short,4398.960493,13-04-2022 08:03,4416.25,4416.727957,lose,-17.7674648,-1.004039014
13-04-2022 08:04,4416,short,4417.044036,13-04-2022 09:35,4429.75,4416.885394,lose,0.158641924,-0.999964084
13-04-2022 09:44,4432.25,short,4433.240969,13-04-2022 12:32,4445.25,4444.119292,lose,-10.87832337,-1.002453808
13-04-2022 12:48,4447.75,long,4449.13995,14-04-2022 04:53,4434,4442.473134,lose,6.666816799,-0.998501549
14-04-2022 05:38,4436,long,4439.125242,14-04-2022 06:34,4451.75,4433.953246,win,5.171995149,-0.998834907
14-04-2022 06:48,4435.25,long,4434.111311,14-04-2022 07:06,4421.75,4445.626634,lose,-11.51532265,-1.002596985
14-04-2022 07:57,4423,short,4424.466638,14-04-2022 09:35,4408,4413.486058,win,10.98057944,-0.997518214
14-04-2022 10:28,4407.75,short,4407.969538,14-04-2022 10:59,4421.5,4422.112146,lose,-14.14260772,-1.003208418
14-04-2022 11:00,4421.5,short,4422.504838,14-04-2022 11:54,4405.25,4409.183087,win,13.32175112,-0.996987736
