datetime_entry,datetime_exit,entry_price,exit_price,side,pnl,pnl%,rtns,cuml pnl%,cuml rtns,status
26-05-2022 06:31,26-05-2022 06:32,3994.25,3999.25,short,-5,-0.001251799,-250,-0.001251799,-250,lose
26-05-2022 07:21,26-05-2022 07:22,4036.75,4038.75,long,2,0.000495448,100,-0.000756351,-150,win
26-05-2022 07:33,26-05-2022 07:35,4034.25,4036.25,long,2,0.000495755,100,-0.000260596,-50,win
26-05-2022 08:03,26-05-2022 08:12,4048,4046,short,2,0.000494071,100,0.000233475,50,win
26-05-2022 09:13,26-05-2022 09:15,4054.25,4052.25,short,2,0.000493309,100,0.000726784,150,win
26-05-2022 10:05,26-05-2022 10:08,4070,4068,short,2,0.0004914,100,0.001218185,250,win
26-05-2022 10:46,26-05-2022 10:47,4063.5,4061.5,short,2,0.000492187,100,0.001710371,350,win
26-05-2022 11:33,26-05-2022 11:36,4062.25,4057.25,long,-5,-0.001230845,-250,0.000479526,100,lose
26-05-2022 12:16,26-05-2022 12:18,4054,4049,long,-5,-0.00123335,-250,-0.000753823,-150,lose
26-05-2022 12:32,26-05-2022 12:32,4056.5,4054.5,short,2,0.000493036,100,-0.000260788,-50,win
26-05-2022 13:00,26-05-2022 13:00,4052.5,4054.5,long,2,0.000493523,100,0.000232735,50,win
27-05-2022 06:30,27-05-2022 06:32,4084.75,4089.75,short,-5,-0.001224065,-250,-0.00099133,-200,lose
27-05-2022 07:22,27-05-2022 07:22,4121,4123,long,2,0.000485319,100,-0.000506011,-100,win
27-05-2022 07:40,27-05-2022 07:46,4118.5,4113.5,long,-5,-0.001214034,-250,-0.001720045,-350,lose
27-05-2022 08:11,27-05-2022 08:16,4117.75,4122.75,short,-5,-0.001214255,-250,-0.002934301,-600,lose
27-05-2022 08:37,27-05-2022 08:38,4119.25,4121.25,long,2,0.000485525,100,-0.002448775,-500,win
27-05-2022 09:17,27-05-2022 09:24,4128.25,4123.25,long,-5,-0.001211167,-250,-0.003659942,-750,lose
27-05-2022 09:54,27-05-2022 10:08,4125.5,4130.5,short,-5,-0.001211974,-250,-0.004871917,-1000,lose
27-05-2022 11:20,27-05-2022 11:27,4129.75,4127.75,short,2,0.000484291,100,-0.004387626,-900,win
27-05-2022 11:39,27-05-2022 11:39,4127.75,4129.75,long,2,0.000484525,100,-0.0039031,-800,win
27-05-2022 12:05,27-05-2022 12:08,4138.5,4143.5,short,-5,-0.001208167,-250,-0.005111268,-1050,lose
27-05-2022 12:35,27-05-2022 12:42,4142.25,4144.25,long,2,0.000482829,100,-0.004628438,-950,win
27-05-2022 13:00,27-05-2022 13:00,4157.25,4155.25,short,2,0.000481087,100,-0.004147351,-850,win
