datetime_entry,datetime_exit,entry_price,exit_price,side,pnl,pnl%,rtns,cuml pnl%,cuml rtns,status
2022-05-26 06:31:33,2022-05-26 06:31:59,3994.25,3996.25,short,-2.0,-0.0005007197846904621,-100.0,-0.0005007197846904621,-100.0,lose
2022-05-26 07:21:13,2022-05-26 07:22:01,4036.75,4038.75,long,2.0,0.0004954480708490028,100.0,-5.271713841459302e-06,0.0,win
2022-05-26 07:33:00,2022-05-26 07:33:46,4034.25,4032.25,long,-2.0,-0.0004957550969820756,-100.0,-0.000501026810823535,-100.0,lose
2022-05-26 08:03:47,2022-05-26 08:12:50,4048.0,4046.0,short,2.0,0.000494071146245112,100.0,-6.955664578423004e-06,0.0,win
2022-05-26 09:13:47,2022-05-26 09:15:36,4054.25,4052.25,short,2.0,0.0004933094900413382,100.0,0.00048635382546291517,100.0,win
2022-05-26 10:05:44,2022-05-26 10:08:13,4070.0,4068.0,short,2.0,0.0004914004914005066,100.0,0.0009777543168634217,200.0,win
2022-05-26 10:46:45,2022-05-26 10:47:29,4063.5,4061.5,short,2.0,0.0004921865386982027,100.0,0.0014699408555616245,300.0,win
2022-05-26 11:33:11,2022-05-26 11:35:37,4062.25,4060.25,long,-2.0,-0.0004923379900301228,-100.0,0.0009776028655315017,200.0,lose
2022-05-26 12:16:10,2022-05-26 12:17:00,4054.0,4052.0,long,-2.0,-0.0004933399111988201,-100.0,0.0004842629543326815,100.0,lose
2022-05-26 12:32:09,2022-05-26 12:32:31,4056.5,4054.5,short,2.0,0.0004930358683594704,100.0,0.000977298822692152,200.0,win
2022-05-26 13:00:13,2022-05-26 13:00:18,4052.5,4054.5,long,2.0,0.0004935225169648838,100.0,0.0014708213396570358,300.0,win
2022-05-27 06:30:52,2022-05-27 06:31:01,4084.75,4086.75,short,-2.0,-0.0004896260481057624,-100.0,0.0009811952915512734,200.0,lose
2022-05-27 07:22:24,2022-05-27 07:22:36,4121.0,4123.0,long,2.0,0.00048531909730642475,100.0,0.0014665143888576981,300.0,win
2022-05-27 07:40:23,2022-05-27 07:43:03,4118.5,4116.5,long,-2.0,-0.0004856136943062195,-100.0,0.0009809006945514787,200.0,lose
2022-05-27 08:11:10,2022-05-27 08:12:13,4117.75,4119.75,short,-2.0,-0.0004857021431607933,-100.0,0.0004951985513906854,100.0,lose
2022-05-27 08:37:14,2022-05-27 08:38:03,4119.25,4121.25,long,2.0,0.0004855252776596597,100.0,0.000980723829050345,200.0,win
2022-05-27 09:17:30,2022-05-27 09:19:01,4128.25,4126.25,long,-2.0,-0.00048446678374614027,-100.0,0.0004962570453042048,100.0,lose
2022-05-27 09:54:13,2022-05-27 09:55:28,4125.5,4127.5,short,-2.0,-0.0004847897224578013,-100.0,1.1467322846403505e-05,0.0,lose
2022-05-27 11:20:08,2022-05-27 11:27:53,4129.75,4127.75,short,2.0,0.00048429081663536877,100.0,0.0004957581394817723,100.0,win
2022-05-27 11:39:10,2022-05-27 11:39:12,4127.75,4129.75,long,2.0,0.0004845254678698119,100.0,0.0009802836073515842,200.0,win
2022-05-27 12:05:29,2022-05-27 12:05:55,4138.5,4140.5,short,-2.0,-0.0004832668841368015,-100.0,0.0004970167232147826,100.0,lose
2022-05-27 12:35:57,2022-05-27 12:36:54,4142.25,4140.25,long,-2.0,-0.00048282938016774857,-100.0,1.4187343047034062e-05,0.0,lose
2022-05-27 13:00:19,2022-05-27 13:00:42,4157.25,4155.25,short,2.0,0.00048108725720130696,100.0,0.000495274600248341,100.0,win
