Datetime,Open,High,Low,Close,side,entry_price
2022-05-26 07:28:20,4037.75,4037.75,4037.5,4037.5,long,4037.75
2022-05-26 08:27:50,4045.5,4045.5,4045.25,4045.5,long,4045.5
2022-05-26 08:58:28,4048.0,4048.5,4048.0,4048.5,short,4048.5
2022-05-26 09:30:04,4060.0,4060.25,4060.0,4060.25,short,4060.25
2022-05-26 10:17:00,4064.75,4064.75,4064.25,4064.75,long,4064.75
2022-05-26 10:57:06,4063.25,4063.25,4063.0,4063.0,short,4063.0
2022-05-26 11:36:39,4056.75,4057.25,4056.75,4057.25,long,4056.75
2022-05-26 11:56:52,4063.5,4063.75,4063.5,4063.75,short,4063.5
2022-05-26 12:34:28,4057.75,4058.5,4057.75,4058.25,short,4058.0
2022-05-26 12:54:55,4058.5,4058.75,4057.75,4057.75,long,4058.25
2022-05-26 13:59:59,4051.0,4051.0,4050.75,4050.75,short,4051.0
2022-05-27 06:44:49,4097.5,4097.75,4096.75,4096.75,long,4097.0
2022-05-27 07:18:10,4119.25,4119.25,4119.0,4119.0,long,4119.25
2022-05-27 07:40:18,4119.0,4119.25,4118.75,4119.25,long,4119.0
2022-05-27 08:02:47,4109.25,4109.25,4108.5,4108.5,long,4108.75
2022-05-27 08:37:02,4119.75,4119.75,4119.5,4119.5,long,4119.5
2022-05-27 09:17:30,4128.5,4128.5,4128.0,4128.0,long,4128.0
2022-05-27 09:54:18,4126.0,4126.25,4126.0,4126.25,short,4126.0
2022-05-27 10:23:44,4125.75,4125.75,4125.5,4125.5,long,4125.75
2022-05-27 12:01:21,4135.5,4137.75,4135.5,4136.5,short,4136.0
2022-05-27 12:35:35,4143.0,4143.25,4143.0,4143.0,long,4143.25
2022-05-27 13:09:32,4159.25,4159.5,4159.25,4159.25,short,4159.25
